row_number,ground_truth_path,prompt,feedback_1,feedback_level_1,feedback_2,feedback_level_2,feedback_3,feedback_level_3,feedback_4,feedback_level_4,feedback_5,feedback_level_5,feedback_6,feedback_level_6,feedback_7,feedback_level_7,feedback_8,feedback_level_8,feedback_9,feedback_level_9,feedback_10,feedback_level_10,feedback_11,feedback_level_11,feedback_12,feedback_level_12,feedback_13,feedback_level_13,feedback_14,feedback_level_14,feedback_15,feedback_level_15,feedback_16,feedback_level_16,feedback_17,feedback_level_17,feedback_18,feedback_level_18
37,Data\groud_truth\template\compliant-bucket.yaml,We need a CloudFormation template that creates a secure bucket that passes default security scanning checks. Includes a bucket to store replicas and an access log bucket. Server side encryption is enabled. Public access is disabled. The bucket policy requires secure transport.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: LogBucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: ReplicaBucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: ReplicationRole
  Error: Circular Dependencies for resource ReplicationRole. Circular dependency with [MainBucket]
- Resource: MainBucket
  Error: Circular Dependencies for resource MainBucket. Circular dependency with [ReplicationRole]
- Resource: MainBucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: MainBucketReplication
  Error: Resource type 'AWS::S3::BucketReplicationConfiguration' does not exist in 'us-east-1'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Data\groud_truth\template\S3_LambdaTrigger.yaml,We need a CloudFormation template that creates a S3 bucket trigger lambda function.,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: S3Bucket
  Error: Both 'UpdateReplacePolicy' and 'DeletionPolicy' are needed to protect resource from deletion
- Resource: LambdaFunction
  Error: 'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/LambdaFunction/Properties/Role'
- Resource: LambdaPermission
  Error: 'LambdaFunction' dependency already enforced by a 'GetAtt' at 'Resources/LambdaPermission/Properties/FunctionName'
- Resource: BucketNotification
  Error: Resource type 'AWS::S3::BucketNotification' does not exist in 'us-east-1'
- Resource: BucketNotification
  Error: 'S3Bucket' dependency already enforced by a 'Ref' at 'Resources/BucketNotification/Properties/Bucket'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Data\groud_truth\template\ecr.yaml,"We need a CloudFormation template that creates an Amazon ECR repository, which include a repository policy granting the AWS account root user permissions to perform critical ECR actions, for Kubernetes container image management. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: ECRRepositoryPolicy
  Error: Resource type 'AWS::ECR::RepositoryPolicy' does not exist in 'us-east-1'",detailed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Data\groud_truth\template\SQSFIFOQueue.yaml,We need a CloudFormation template that creates SQS FIFO Queue.,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Data\groud_truth\template\SQSStandardQueue.yaml,We need a CloudFormation template that creates SQS Standard Queue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Data\groud_truth\template\FindInMapAZs.yaml,"We need a CloudFormation template that creates a VPC, with a pair of public and private subnets, in total three, spread across two Availability Zones. It uses a static AZ Mapping known as RegionMap to ensure that your resources persist in a given Availability Zone if we add or remove zones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Data\groud_truth\template\lab2.2.4.create.yaml,We need a CloudFormation template that creates a S3 bucket with integrated AWS KMS encryption and lifecycle management. The template must include a KMS key alias for simplified key management and tag the bucket for organizational tracking. ,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Data\groud_truth\template\VPC_With_Managed_NAT_And_Private_Subnet.yaml,"We need a CloudFormation template that creates a VPC with Managed NAT. Note, you can assume there are four subnets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Data\groud_truth\template\DataFirehoseDeliveryStream.yaml,We need a CloudFormation template that creates an Amazon Data Firehose stream with server-side encryption set using AWS Managed keys and destination error logging enabled to a created Amazon CloudWatch log group and log stream.,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Data\groud_truth\template\recovery.yaml,"We need a CloudFormation template that creates a resilient Jenkins CI/CD server with automated hardware failure recovery and secure access. The template should deploy Jenkins on an EC2 instance within a VPC, using a static Elastic IP for consistent public access and a security group allowing HTTP/ICMP traffic. It must automatically recover the instance via a CloudWatch alarm if system-level failures occur, ensuring continuity. The solution integrates an IAM role for Systems Manager (SSM) access, enabling secure management without SSH.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Data\groud_truth\template\lab3.1.3.iamrole.yaml,"We need a CloudFormation template that creates IAM roles for EC2 instances with restricted read-only access to AWS IAM metadata, which enables them to retrieve and list IAM resources without modification rights. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Data\groud_truth\template\010_resources.yaml,"We need a CloudFormation template that creates an AWS Glue ETL job infrastructure. The template should provision an S3 bucket to store Glue scripts and Spark logs, define an IAM role granting AWS Glue permissions to access S3 and execute jobs, and configure a Glue job with version 4.0 using Python scripts from the bucket (gue_scripts/sample_convert.py). ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Data\groud_truth\template\ecs_serverless_with_fargate.yaml,We need a CloudFormation template that creates a simple Amazon ECS cluster that is setup for serverless usage with AWS Fargate.,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Data\groud_truth\template\url2png-loadtest.yaml,"We need a CloudFormation template that creates a scalable URL-to-PNG screenshot service with automated load testing and S3/SQS integration, designed to dynamically process website screenshot requests and store results in a secure, distributed environment. The template should deploy an Auto Scaling group of EC2 instances (workers) across two Availability Zones, configured to consume messages from an SQS queue and generate screenshots using Chromium, saving outputs to an S3 bucket. It must include a load test instance that populates the queue with sample URL requests to simulate traffic, while CloudWatch alarms trigger scaling policies based on queue depth (scaling up/down between 1-2 instances). ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: WorkerLaunchTemplate
  Error: 'crypto' is not one of ['ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance']
- Resource: WorkerLaunchTemplate
  Error: 'url' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: WorkerLaunchTemplate
  Error: 'data' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: WorkerLaunchTemplate
  Error: 'code' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: WorkerLaunchTemplate
  Error: 'timestamp' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: WorkerLaunchTemplate
  Error: 'urlHash' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: WorkerLaunchTemplate
  Error: 'bucketName' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: WorkerLaunchTemplate
  Error: 's3Key' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: LoadTestInstance
  Error: 'url' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']
- Resource: LoadTestInstance
  Error: 'result' is not one of ['ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance']
- Resource: LoadTestInstance
  Error: 'numMessages' is not one of ['VpcId', 'SubnetId1', 'SubnetId2', 'KeyName', 'WorkerInstanceType', 'LoadTestInstanceType', 'S3BucketPrefix', 'MinCapacity', 'MaxCapacity', 'ScreenshotBucket', 'ScreenshotDLQ', 'ScreenshotQueue', 'ScreenshotServiceRole', 'ScreenshotServicePolicy', 'LoadTestRole', 'LoadTestPolicy', 'ScreenshotServiceInstanceProfile', 'LoadTestInstanceProfile', 'WorkerSecurityGroup', 'LoadTestSecurityGroup', 'WorkerLaunchTemplate', 'WorkerAutoScalingGroup', 'QueueDepthAlarmHigh', 'QueueDepthAlarmLow', 'ScaleUpPolicy', 'ScaleDownPolicy', 'LoadTestInstance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Data\groud_truth\template\loadbalancer.yaml,"We need a CloudFormation template that creates a web server infrastructure with an Application Load Balancer (ALB) and Auto Scaling group, designed to distribute traffic across multiple EC2 instances in different Availability Zones for scalability and fault tolerance. The template must provision EC2 instances via a launch template that installs and configures Apache HTTP Server, ensuring each instance dynamically generates a unique HTML page. The solution enforces security via IAM roles for SSM access, and restricts web server traffic to the ALB. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Data\groud_truth\template\Route53-ARC-routing-control.yaml,"We need a CloudFormation template that creates a multi-region application failover architecture using Amazon Route 53 Application Recovery Controller (ARC). The template should configure a recovery cluster and control panel, define routing controls for two AWS regions, enforce a safety rule to maintain at least one active region at all times, and set up health checks linked to routing controls for monitoring regional application health. ","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'AssertionRule' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'GatingRule' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: {'Name': 'AtLeastOneActiveRegionRule', 'ControlPanelArn': {'Fn::GetAtt': ['ControlPanel', 'ControlPanelArn']}, 'RuleConfig': {'Type': 'ASSERTION', 'AssertionRule': {'AssertedControls': [{'Fn::GetAtt': ['PrimaryRegionRoutingControl', 'RoutingControlArn']}, {'Fn::GetAtt': ['SecondaryRegionRoutingControl', 'RoutingControlArn']}], 'WaitPeriodMs': 5000}}, 'Status': 'DEPLOYED'} is not valid under any of the given schemas
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'Threshold' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'Inverted' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'ASSERTION' is not one of ['AND', 'OR', 'ATLEAST']
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: Additional properties are not allowed ('AssertionRule' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'RuleConfig' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'GatingRule' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: {'Name': 'AtLeastOneActiveRegionRule', 'ControlPanelArn': {'Fn::GetAtt': ['ControlPanel', 'ControlPanelArn']}, 'AssertionRule': {'AssertedControls': [{'Fn::GetAtt': ['PrimaryRegionRoutingControl', 'RoutingControlArn']}, {'Fn::GetAtt': ['SecondaryRegionRoutingControl', 'RoutingControlArn']}], 'WaitPeriodMs': 5000}, 'Status': 'DEPLOYED'} is not valid under any of the given schemas",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'AssertionRule' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'GatingRule' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: {'Name': 'AtLeastOneActiveRegionRule', 'ControlPanelArn': {'Fn::GetAtt': ['ControlPanel', 'ControlPanelArn']}, 'RuleConfig': {'Type': 'ASSERTION', 'AssertionRule': {'AssertedControls': [{'Fn::GetAtt': ['PrimaryRegionRoutingControl', 'RoutingControlArn']}, {'Fn::GetAtt': ['SecondaryRegionRoutingControl', 'RoutingControlArn']}], 'WaitPeriodMs': 5000}}, 'Status': 'DEPLOYED'} is not valid under any of the given schemas
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'Threshold' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'Inverted' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'ASSERTION' is not one of ['AND', 'OR', 'ATLEAST']
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: Additional properties are not allowed ('AssertionRule' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'AssertionRule' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'RuleConfig' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: {'Name': 'AtLeastOneActiveRegionRule', 'ControlPanelArn': {'Fn::GetAtt': ['ControlPanel', 'ControlPanelArn']}, 'GatingRule': {'GatingControls': [{'Fn::GetAtt': ['PrimaryRegionRoutingControl', 'RoutingControlArn']}, {'Fn::GetAtt': ['SecondaryRegionRoutingControl', 'RoutingControlArn']}], 'Type': 'ATLEAST', 'Threshold': 1, 'Inverted': False, 'WaitPeriodMs': 5000}, 'Status': 'DEPLOYED'} is not valid under any of the given schemas
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: 'TargetControls' is a required property
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: Additional properties are not allowed ('Type' was unexpected)
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: Additional properties are not allowed ('Threshold' was unexpected)
- Resource: AtLeastOneActiveRegionSafetyRule
  Error: Additional properties are not allowed ('Inverted' was unexpected)",detailed,"Based on the evaluation, the template contains Deployment Errors.",advanced,,advanced,,general,,,,,,,,,,,,,,,,,,
53,Data\groud_truth\template\010_emr_serverless.yaml,"We need a CloudFormation template that creates an AWS EMR Serverless environment. The template should provision an IAM role granting EMR Serverless permissions to interact with S3 and CloudWatch Logs, deploy a private S3 bucket for storing scripts and data, and configure an EMR Serverless application (`emr-6.15.0` Spark) with auto-start/auto-stop features to minimize idle costs.","Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template contains CloudFormation Template Syntax Errors.",general,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: EMRServerlessApplication
  Error: 'WorkerCount' is a required property
- Resource: EMRServerlessApplication
  Error: 'WorkerConfiguration' is a required property
- Resource: EMRServerlessApplication
  Error: Additional properties are not allowed ('Cpu' was unexpected)
- Resource: EMRServerlessApplication
  Error: Additional properties are not allowed ('Memory' was unexpected)
- Resource: EMRServerlessApplication
  Error: 'WorkerCount' is a required property
- Resource: EMRServerlessApplication
  Error: 'WorkerConfiguration' is a required property
- Resource: EMRServerlessApplication
  Error: Additional properties are not allowed ('Cpu' was unexpected)
- Resource: EMRServerlessApplication
  Error: Additional properties are not allowed ('Memory' was unexpected)
- Resource: EMRServerlessApplication
  Error: Additional properties are not allowed ('Count' was unexpected)",detailed,"Based on the evaluation, the template failed at the syntax_validation stage. Check below for the error details.
CloudFormation Template Syntax Errors:
- Resource: EMRServerlessApplication
  Error: {'Fn::Mul': [{'Ref': 'MaximumCapacity'}, 4096]} is not of type 'string'",detailed,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Data\groud_truth\template\central_alert.yaml,"We need a CloudFormation template that creates a centralized Amazon SNS topic with secure cross-service notification capabilities and email subscription, designed to aggregate alerts and events from AWS services into a single channel. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Data\groud_truth\template\client_security_group.yaml,We need a CloudFormation template that creates a vpc with security group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Data\groud_truth\template\cognito_userpool.yaml,"We need a CloudFormation template that creates a secure Amazon Cognito User Pool with administrator-controlled user provisioning and email-based authentication, designed for applications requiring centralized user management. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Data\groud_truth\template\simple_ecs.yaml,"We need a CloudFormation template that creates a basic Amazon ECS cluster with configurable monitoring capabilities, designed to serve as a foundational component for containerized workloads. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Data\groud_truth\template\efs_file_system.yaml,"We need a CloudFormation template that creates a scalable and monitored Amazon EFS file system with automated backups and performance safeguards, designed for shared storage in a VPC-based environment. The template must integrate CloudWatch alarms to monitor IO utilization, burst credits, and throughput thresholds for proactive performance management. Automated backups via AWS Backup should be conditionally enabled with a customizable CRON schedule. ","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Data\groud_truth\template\kinesis-data-stream.yaml,We need a CloudFormation template that creates an Amazon Kinesis Data Stream for real-time data ingestion and processing and alerts for read and write throughput exceeding.,"Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Data\groud_truth\template\kms-key.yaml,We need a CloudFormation template that creates an AWS KMS (Key Management Service) Key for centralized encryption management. Remember to include the Alias for the key.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Data\groud_truth\template\route53-hosted-zone-private.yaml,"We need a CloudFormation template that creates a private Amazon Route 53 Hosted Zone for internal DNS management within a VPC. Note the domain is: ""www.example.com"".","Based on the evaluation, the template contains Deployment Errors.",general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
